Cog,CommunicationState,Latitude,Longitude,MessageID,NavigationalStatus,PositionAccuracy,Raim,RateOfTurn,RepeatIndicator,Sog,Spare,SpecialManoeuvreIndicator,Timestamp,TrueHeading,UserID,Valid,geometry,AisVersion,CallSign,Destination,Dimension,Dte,Eta,FixType,ImoNumber,MaximumStaticDraught,Name,Type
42.0,2266.0,54.484500000000004,18.740666666666666,1,0.0,False,False,-7.0,0,9.7,0,0.0,19.0,41.0,314838000,True,POINT (18.740666666666666 54.484500000000004),0.0,8PXO4  ,LYTIP               ,"{'A': 98, 'B': 10, 'C': 11, 'D': 7}",False,"{'Day': 29, 'Hour': 6, 'Minute': 0, 'Month': 4}",1.0,9338125.0,7.7,AK HAMZA            ,70.0
360.0,76986.0,54.6969,18.675416666666667,3,5.0,True,False,0.0,0,102.3,0,0.0,40.0,265.0,235059422,True,POINT (18.675416666666667 54.6969),2.0,2AGN3,JASTARNIA,"{'A': 14, 'B': 12, 'C': 5, 'D': 2}",False,"{'Day': 7, 'Hour': 9, 'Minute': 0, 'Month': 3}",1.0,0.0,1.5,N E GUARDIAN III,55.0
91.7,66852.0,54.53489833333333,18.592066666666664,5,0.0,True,False,0.0,0,8.7,False,0.0,35.0,90.0,209239000,True,POINT (18.592066666666664 54.53489833333333),1.0,5BYE4  ,PL GDN              ,"{'A': 73, 'B': 14, 'C': 10, 'D': 3}",False,"{'Day': 16, 'Hour': 12, 'Minute': 0, 'Month': 4}",1.0,9006277.0,3.7,RIX STAR            ,70.0
155.2,2265.0,54.40616833333333,18.665470000000003,1,0.0,True,False,0.0,0,0.0,0,0.0,32.0,305.0,261000197,True,POINT (18.665470000000003 54.40616833333333),2.0,SPG2475,,"{'A': 10, 'B': 14, 'C': 3, 'D': 4}",False,"{'Day': 0, 'Hour': 0, 'Minute': 0, 'Month': 0}",3.0,7645756.0,0.0,BOBR,52.0
263.8,85994.0,54.520959999999995,18.553806666666667,3,5.0,True,False,-128.0,0,0.0,0,0.0,43.0,511.0,261007303,True,POINT (18.553806666666667 54.520959999999995),,,,,,,,,,,
253.9,49322.0,54.40900833333333,18.776855,1,0.0,True,False,0.0,0,10.3,2,0.0,26.0,254.0,256883000,True,POINT (18.776855 54.40900833333333),2.0,9HA6016,GDANSK VIA NOK,"{'A': 18, 'B': 187, 'C': 15, 'D': 15}",False,"{'Day': 14, 'Hour': 13, 'Minute': 0, 'Month': 4}",1.0,9961312.0,7.4,CMA CGM TIVOLI,71.0
22.6,215482.0,54.404835000000006,18.718091666666666,3,5.0,True,False,0.0,0,0.0,0,0.0,25.0,120.0,311000766,True,POINT (18.718091666666666 54.404835000000006),,,,,,,,,,,
207.7,84938.0,54.535155,18.535891666666664,3,5.0,True,False,0.0,0,0.0,0,0.0,4.0,122.0,538008553,True,POINT (18.535891666666664 54.535155),2.0,V7A2503,PL GDY              ,"{'A': 171, 'B': 28, 'C': 22, 'D': 10}",False,"{'Day': 31, 'Hour': 23, 'Minute': 45, 'Month': 3}",1.0,9849784.0,7.9,ATALANTI.GR         ,70.0
126.7,84938.0,54.442750000000004,18.878485,5,1.0,True,False,-2.0,0,0.0,False,0.0,25.0,73.0,255915968,True,POINT (18.878485 54.442750000000004),2.0,CQ2426 ,PL GDN              ,"{'A': 78, 'B': 22, 'C': 5, 'D': 13}",False,"{'Day': 14, 'Hour': 2, 'Minute': 0, 'Month': 4}",1.0,9719513.0,5.9,DREAM SYRAX         ,80.0
45.0,84906.0,54.372814999999996,18.657405,3,5.0,True,False,0.0,0,0.0,0,0.0,30.0,203.0,255953000,True,POINT (18.657405 54.372814999999996),1.0,CQXY   ,PLGDN               ,"{'A': 110, 'B': 34, 'C': 8, 'D': 15}",False,"{'Day': 26, 'Hour': 19, 'Minute': 0, 'Month': 3}",1.0,9322700.0,5.8,STEN POSEIDON       ,80.0
148.9,133279.0,54.40561,18.652431666666665,1,15.0,True,False,0.0,0,0.0,0,0.0,27.0,245.0,261001520,True,POINT (18.652431666666665 54.40561),,,,,,,,,,,
,,,,5,,,,,0,,False,,,,304444000,True,,2.0,V2QX8,LV LPX,"{'A': 94, 'B': 12, 'C': 4, 'D': 10}",False,"{'Day': 15, 'Hour': 20, 'Minute': 0, 'Month': 4}",1.0,9312676.0,4.0,CLARA,70.0
138.0,85994.0,54.362296666666666,18.665911666666666,3,5.0,False,False,0.0,0,0.0,0,0.0,2.0,9.0,312098000,True,POINT (18.665911666666666 54.362296666666666),1.0,V3WA4  ,PL GDN              ,"{'A': 155, 'B': 20, 'C': 16, 'D': 13}",False,"{'Day': 11, 'Hour': 12, 'Minute': 0, 'Month': 4}",1.0,9338589.0,6.5,AMAR MERAY          ,70.0
184.3,0.0,54.61363333333334,18.789223333333332,3,5.0,True,False,0.0,0,0.2,0,0.0,27.0,113.0,261506000,True,POINT (18.789223333333332 54.61363333333334),,,,,,,,,,,
204.5,66681.0,54.531031666666664,18.548434999999998,1,0.0,False,False,0.0,0,0.0,0,0.0,29.0,353.0,261008481,True,POINT (18.548434999999998 54.531031666666664),,,,,,,,,,,
198.1,34540.0,54.597595,18.845534999999998,1,15.0,True,False,127.0,0,2.1,0,0.0,47.0,208.0,261005260,True,POINT (18.845534999999998 54.597595),,,,,,,,,,,
16.6,23044.0,54.399166666666666,18.696216666666665,5,0.0,False,False,0.0,0,0.0,False,0.0,51.0,67.0,261036130,True,POINT (18.696216666666665 54.399166666666666),1.0,SPG4470,HARBOUR GDANSK      ,"{'A': 10, 'B': 19, 'C': 7, 'D': 6}",False,"{'Day': 20, 'Hour': 8, 'Minute': 0, 'Month': 3}",1.0,9805362.0,5.4,HERKULES            ,52.0
,,,,5,,,,,0,,False,,,,240633000,True,,2.0,SZVD   ,PLGDN               ,"{'A': 207, 'B': 42, 'C': 15, 'D': 29}",False,"{'Day': 4, 'Hour': 18, 'Minute': 0, 'Month': 4}",1.0,9338917.0,8.0,AEGEAN HARMONY      ,82.0
31.0,85466.0,54.38698333333333,18.7183,3,5.0,True,False,0.0,0,0.0,0,0.0,30.0,38.0,636020868,True,POINT (18.7183 54.38698333333333),,,,,,,,,,,
310.7,0.0,54.544216666666664,18.505055000000002,1,0.0,True,True,0.0,0,0.6,0,0.0,52.0,127.0,538090596,True,POINT (18.505055000000002 54.544216666666664),,,,,,,,,,,
,,,,5,,,,,0,,False,,,,311000787,True,,1.0,C6DU6  ,GDANSK              ,"{'A': 26, 'B': 135, 'C': 14, 'D': 12}",False,"{'Day': 13, 'Hour': 10, 'Minute': 0, 'Month': 4}",3.0,9462067.0,6.2,NOVA STAR           ,60.0
360.0,66825.0,54.52568333333333,18.548443333333335,1,0.0,True,True,-128.0,0,0.0,0,0.0,34.0,511.0,261185774,True,POINT (18.548443333333335 54.52568333333333),,,,,,,,,,,
326.7,49260.0,54.420715,18.978335,1,15.0,True,True,-128.0,0,8.1,0,0.0,52.0,511.0,261005330,True,POINT (18.978335 54.420715),,,,,,,,,,,
227.6,231068.0,54.40810666666666,18.718053333333334,1,0.0,False,False,0.0,0,0.0,0,0.0,44.0,225.0,261004658,True,POINT (18.718053333333334 54.40810666666666),2.0,SNHT   ,GDANSK              ,"{'A': 14, 'B': 14, 'C': 5, 'D': 6}",False,"{'Day': 5, 'Hour': 12, 'Minute': 0, 'Month': 10}",1.0,9962354.0,4.6,PAX                 ,52.0
,,,,5,,,,,0,,False,,,,241813000,True,,2.0,SVDQ3,PLGDN,"{'A': 23, 'B': 45, 'C': 9, 'D': 7}",False,"{'Day': 14, 'Hour': 12, 'Minute': 0, 'Month': 4}",1.0,8321591.0,5.5,ARTEMIS,52.0
108.5,114771.0,54.662164999999995,19.030313333333332,1,7.0,True,True,-128.0,0,2.6,0,0.0,44.0,511.0,261007950,True,POINT (19.030313333333332 54.662164999999995),2.0,SPG2536,HEL,"{'A': 14, 'B': 10, 'C': 2, 'D': 4}",False,"{'Day': 3, 'Hour': 18, 'Minute': 10, 'Month': 4}",15.0,0.0,3.2,JAS 76,30.0
326.2,85562.0,54.39915666666666,18.693965,5,5.0,True,False,0.0,0,0.0,False,0.0,36.0,69.0,261194000,True,POINT (18.693965 54.39915666666666),1.0,SQLX   ,GDANSK              ,"{'A': 30, 'B': 30, 'C': 6, 'D': 5}",False,"{'Day': 5, 'Hour': 17, 'Minute': 0, 'Month': 6}",1.0,8030908.0,3.2,ZODIAK              ,54.0
360.0,72611.0,54.39727333333334,18.694765,3,0.0,True,True,-128.0,0,0.0,0,0.0,17.0,511.0,261182201,True,POINT (18.694765 54.39727333333334),,,,,,,,,,,
131.8,85738.0,54.36580666666667,18.66397,5,5.0,True,False,0.0,0,0.0,False,0.0,37.0,186.0,305375000,True,POINT (18.66397 54.36580666666667),2.0,V2EB4  ,PLGDN               ,"{'A': 137, 'B': 9, 'C': 10, 'D': 9}",False,"{'Day': 10, 'Hour': 7, 'Minute': 0, 'Month': 4}",1.0,9438585.0,4.8,ONEGO NEVA          ,70.0
